"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"311740 CONCEICAO DE IPANEMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73024";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73024"
"311750 CONCEICAO DO MATO DENTRO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"350936";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"350936"
"311760 CONCEICAO DO PARA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"83488";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"83488"
"311770 CONCEICAO DO RIO VERDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"210176";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"210176"
"311780 CONCEICAO DOS OUROS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"138806";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"138806"
"311783 CONEGO MARINHO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115245"
"311787 CONFINS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96550";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96550"
"311790 CONGONHAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134151";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134151"
"311800 CONGONHAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"889464";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"889464"
"311810 CONGONHAS DO NORTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103383";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103383"
